service,food,place,menu,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours,BusinessAcceptsCreditCards,BikeParking,RestaurantsTakeOut,RestaurantsDelivery,OutdoorSeating
1.0,,0.6666666666666666,,Chris's Sandwich Shop,1531 W Wynnewood Rd,Ardmore,NV,19003,39.9972988,-75.2922074,4.5,32,0,"American (Traditional), Restaurants, Pizza, Sandwiches, Meat Shops, Food, Wraps, Delis, Specialty Food, Salad","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",True,True,True,False,False
,,1.0,1.0,USPS,3135 1st Ave N,St. Petersburg,LA,33730,27.772845,-82.676156,3.5,11,1,"Post Offices, Public Services & Government",,False,False,False,False,False
,,1.0,,Yelo'd Ice Cream,10150A 82 Ave,Edmonton,FL,T6E 1Z4,53.518487,-113.493183,4.5,105,1,"Food, Ice Cream & Frozen Yogurt, Bakeries","{'Monday': '15:0-21:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '15:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",,True,True,True,
0.42857142857142855,0.6818181818181818,0.2222222222222222,0.5,Red Garter Saloon,3143 E Speedway Blvd,Tucson,PA,85716,32.2363608,-110.9252135,4.0,107,1,"Nightlife, Burgers, Sports Bars, Bars, Restaurants, Dive Bars, Soup","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-0:0'}",True,True,True,False,True
1.0,0.29411764705882354,-0.2222222222222222,1.0,Hyatt Place Reno-Tahoe Airport,1790 E Plumb Ln,Reno,FL,89502,39.5044214,-119.7795893,4.0,167,1,"Hotels, Hotels & Travel, Event Planning & Services, Venues & Event Spaces","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",True,,,,
1.0,0.7142857142857143,0.2,1.0,Greek Sotir Grill,4630 Lebanon Pike,Hermitage,LA,37076,36.2166079,-86.5963643,3.5,21,0,"Greek, Mediterranean, Restaurants, American (Traditional)","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",True,True,True,True,False
,0.0,1.0,-1.0,Nite Owls Saloon & Grill,3535 S Emerson Ave,Beech Grove,CA,46107,39.71531,-86.081227,3.5,17,1,"Karaoke, American (Traditional), Restaurants, Nightlife, Bars, Sports Bars","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '12:0-20:0'}",True,True,True,True,False
0.33333333333333337,0.5348837209302325,0.42168674698795183,0.12,Chase Restaurant,1012 State St,Santa Barbara,TN,93101,34.421931,-119.7021852,3.0,436,1,"Event Planning & Services, Restaurants, Nightlife, Caterers, Italian, Bars","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-21:0'}",True,True,True,True,True
,,1.0,,Dunkin',6190 N. US Highway 41,Apollo Beach,PA,33572,27.7685912,-82.3927929,2.5,18,1,"Food, Coffee & Tea, Donuts","{'Monday': '5:0-22:0', 'Tuesday': '5:0-22:0', 'Wednesday': '5:0-22:0', 'Thursday': '5:0-22:0', 'Friday': '5:0-22:0', 'Saturday': '5:0-22:0', 'Sunday': '5:0-22:0'}",True,False,True,True,False
1.0,0.5,0.41666666666666663,,Pineapple Asian Restaurant,439 N Route 73,Berlin Township,AB,08091,39.8127599,-74.9296987,4.0,27,1,"Restaurants, Chinese","{'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-23:0', 'Saturday': '10:30-23:0', 'Sunday': '12:0-22:0'}",True,False,True,True,True
1.0,,,,Smoothie King,599 Sam Ridley Pkwy Ste 105,Smyrna,MO,37167,35.97815,-86.561966,3.0,13,1,"Food, Gluten-Free, Health & Medical, Specialty Food, American (Traditional), Active Life, Restaurants, Health Markets, Juice Bars & Smoothies","{'Monday': '9:0-21:0', 'Tuesday': '8:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '9:0-20:0', 'Sunday': '11:0-18:0'}",True,True,True,True,False
,-1.0,,,Pathmark,3021 Grays Ferry Ave,Philadelphia,NJ,19146,39.9404026,-75.1932966,2.5,34,0,"Food, Grocery","{'Monday': '6:0-1:0', 'Tuesday': '6:0-1:0', 'Wednesday': '6:0-1:0', 'Thursday': '6:0-1:0', 'Friday': '6:0-1:0', 'Saturday': '6:0-1:0', 'Sunday': '6:0-1:0'}",True,True,,,
